experiment_id,csv_file,model_type,hidden_size,num_layers,batch_size,learning_rate,epochs,mse,mae,rmse,train_months,test_month
1,CVRE2407,lstm,32,1,8,0.001,10,0.468678,0.361420,0.468678,['2024-12',,2025-08
2,CVRE2407,lstm,32,1,16,0.001,10,0.815054,0.752873,0.815054,['2024-12',,2025-08
3,CVRE2407,lstm,32,1,32,0.001,10,0.820751,0.762188,0.820751,['2024-12',,2025-08
4,CVRE2407,lstm,32,2,8,0.001,10,1.122779,0.898879,1.122779,['2024-12',,2025-08
5,CVRE2407,lstm,32,2,16,0.001,10,1.292101,1.105598,1.292101,['2024-12',,2025-08
6,CVRE2407,lstm,32,2,32,0.001,10,2.747782,2.735702,2.747782,['2024-12',,2025-08
7,CVRE2407,lstm,64,1,8,0.001,10,0.846688,0.771414,0.846688,['2024-12',,2025-08
8,CVRE2407,lstm,64,1,16,0.001,10,0.600738,0.493453,0.600738,['2024-12',,2025-08
9,CVRE2407,lstm,64,1,32,0.001,10,0.806899,0.742619,0.806899,['2024-12',,2025-08
10,CVRE2407,lstm,64,2,8,0.001,10,0.854272,0.507679,0.854272,['2024-12',,2025-08
11,CVRE2407,lstm,64,2,16,0.001,10,0.920320,0.558869,0.920320,['2024-12',,2025-08
12,CVRE2407,lstm,64,2,32,0.001,10,2.672301,2.658363,2.672301,['2024-12',,2025-08
13,CVRE2407,lstm,128,1,8,0.001,10,0.538197,0.441233,0.538197,['2024-12',,2025-08
14,CVRE2407,lstm,128,1,16,0.001,10,0.486268,0.348206,0.486268,['2024-12',,2025-08
15,CVRE2407,lstm,128,1,32,0.001,10,0.449269,0.335160,0.449269,['2024-12',,2025-08
16,CVRE2407,lstm,128,2,8,0.001,10,1.334650,1.136865,1.334650,['2024-12',,2025-08
17,CVRE2407,lstm,128,2,16,0.001,10,0.952962,0.562670,0.952962,['2024-12',,2025-08
18,CVRE2407,lstm,128,2,32,0.001,10,2.845785,2.833258,2.845785,['2024-12',,2025-08
19,CVRE2407,gru,32,1,8,0.001,10,0.562583,0.467425,0.562583,['2024-12',,2025-08
20,CVRE2407,gru,32,1,16,0.001,10,0.612744,0.525734,0.612744,['2024-12',,2025-08
21,CVRE2407,gru,32,1,32,0.001,10,0.693574,0.622596,0.693574,['2024-12',,2025-08
22,CVRE2407,gru,32,2,8,0.001,10,0.570230,0.477546,0.570230,['2024-12',,2025-08
23,CVRE2407,gru,32,2,16,0.001,10,0.694425,0.621916,0.694425,['2024-12',,2025-08
24,CVRE2407,gru,32,2,32,0.001,10,0.990053,0.946541,0.990053,['2024-12',,2025-08
25,CVRE2407,gru,64,1,8,0.001,10,0.447177,0.310494,0.447177,['2024-12',,2025-08
26,CVRE2407,gru,64,1,16,0.001,10,0.485110,0.348526,0.485110,['2024-12',,2025-08
27,CVRE2407,gru,64,1,32,0.001,10,0.461187,0.329191,0.461187,['2024-12',,2025-08
28,CVRE2407,gru,64,2,8,0.001,10,0.366090,0.240290,0.366090,['2024-12',,2025-08
29,CVRE2407,gru,64,2,16,0.001,10,0.459410,0.335150,0.459410,['2024-12',,2025-08
30,CVRE2407,gru,64,2,32,0.001,10,0.727234,0.633551,0.727234,['2024-12',,2025-08
