experiment_id,csv_file,model_type,hidden_size,num_layers,batch_size,learning_rate,epochs,window_size,mse,mae,rmse,train_months,test_month
1,CVRE2407,lstm,32,1,8,5,0.001,10,0.580356,0.480996,0.580356,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
2,CVRE2407,lstm,32,1,8,10,0.001,10,0.517810,0.410297,0.517810,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
3,CVRE2407,lstm,32,1,8,15,0.001,10,0.468290,0.360371,0.468290,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
4,CVRE2407,lstm,32,1,8,20,0.001,10,0.554166,0.447490,0.554166,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
5,CVRE2407,lstm,32,1,8,25,0.001,10,0.478222,0.364358,0.478222,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
6,CVRE2407,lstm,32,1,16,5,0.001,10,0.774498,0.709059,0.774498,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
7,CVRE2407,lstm,32,1,16,10,0.001,10,0.822388,0.761280,0.822388,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
8,CVRE2407,lstm,32,1,16,15,0.001,10,0.820148,0.758495,0.820148,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
9,CVRE2407,lstm,32,1,16,20,0.001,10,0.909283,0.856962,0.909283,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
10,CVRE2407,lstm,32,1,16,25,0.001,10,0.840206,0.780755,0.840206,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
11,CVRE2407,lstm,32,1,32,5,0.001,10,0.867826,0.813272,0.867826,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
12,CVRE2407,lstm,32,1,32,10,0.001,10,0.792448,0.733457,0.792448,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
13,CVRE2407,lstm,32,1,32,15,0.001,10,0.821101,0.762705,0.821101,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
14,CVRE2407,lstm,32,1,32,20,0.001,10,0.883526,0.832829,0.883526,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
15,CVRE2407,lstm,32,1,32,25,0.001,10,0.907362,0.855023,0.907362,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
16,CVRE2407,lstm,32,2,8,5,0.001,10,0.661418,0.547395,0.661418,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
17,CVRE2407,lstm,32,2,8,10,0.001,10,0.916781,0.829045,0.916781,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
18,CVRE2407,lstm,32,2,8,15,0.001,10,0.967742,0.909198,0.967742,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
19,CVRE2407,lstm,32,2,8,20,0.001,10,0.871387,0.790803,0.871387,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
20,CVRE2407,lstm,32,2,8,25,0.001,10,0.584136,0.479885,0.584136,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
21,CVRE2407,lstm,32,2,16,5,0.001,10,0.803841,0.741148,0.803841,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
22,CVRE2407,lstm,32,2,16,10,0.001,10,1.064395,1.022459,1.064395,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
23,CVRE2407,lstm,32,2,16,15,0.001,10,1.162123,1.127215,1.162123,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
24,CVRE2407,lstm,32,2,16,20,0.001,10,1.299896,1.268830,1.299896,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
25,CVRE2407,lstm,32,2,16,25,0.001,10,1.219162,1.182761,1.219162,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
26,CVRE2407,lstm,32,2,32,5,0.001,10,1.251534,1.221652,1.251534,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
